137 1734193694 9,200000 -1,000000 -101,000000 0,000000 0,000000
137 1734193695 9,200000 -1,000000 -101,000000 0,000000 0,000000
137 1734193696 9,200000 -1,000000 -101,000000 0,000000 0,000000
137 1734193697 9,200000 -1,000000 -101,000000 0,000000 0,000000
137 1734193698 9,200000 -1,000000 -101,000000 0,000000 0,000000
137 1734193699 5,600000 -1,000000 -101,000000 0,000000 0,000000
137 1734193700 5,600000 -1,000000 -101,000000 0,000000 0,000000
170 1734193699 5,400000 -1,000000 -101,000000 0,000000 0,000000
170 1734193700 5,400000 -1,000000 -101,000000 0,000000 0,000000
137 1734193701 5,600000 -1,000000 -101,000000 0,000000 0,000000
137 1734193702 5,600000 -1,000000 -101,000000 0,000000 0,000000
137 1734193703 5,600000 -1,000000 -101,000000 0,000000 0,000000
137 1734193704 3,400000 -1,000000 -101,000000 0,000000 0,000000
137 1734193705 3,400000 -1,000000 -101,000000 0,000000 0,000000
170 1734193701 5,400000 -1,000000 -101,000000 0,000000 0,000000
170 1734193702 5,400000 -1,000000 -101,000000 0,000000 0,000000
170 1734193703 5,400000 -1,000000 -101,000000 0,000000 0,000000
170 1734193704 6,200000 -1,000000 -101,000000 0,000000 0,000000
170 1734193705 6,200000 -1,000000 -101,000000 0,000000 0,000000
137 1734193706 3,400000 -1,000000 -101,000000 0,000000 0,000000
137 1734193707 3,400000 -1,000000 -101,000000 0,000000 0,000000
137 1734193708 3,400000 -1,000000 -101,000000 0,000000 0,000000
137 1734193709 0,800000 -1,000000 -101,000000 0,000000 0,000000
137 1734193710 0,800000 -1,000000 -101,000000 0,000000 0,000000
137 1734193711 0,800000 -1,000000 -101,000000 0,000000 0,000000
137 1734193712 0,800000 -1,000000 -101,000000 0,000000 0,000000
137 1734193713 0,800000 -1,000000 -101,000000 0,000000 0,000000
137 1734193714 1,600000 -1,000000 -101,000000 0,000000 0,000000
137 1734193715 1,600000 -1,000000 -101,000000 0,000000 0,000000
170 1734193706 6,200000 -1,000000 -101,000000 0,000000 0,000000
170 1734193707 6,200000 -1,000000 -101,000000 0,000000 0,000000
170 1734193708 6,200000 -1,000000 -101,000000 0,000000 0,000000
