117 1734193689 0,122346 2,000000 0,076424 0,207460 0,035354
114 1734193689 0,000207 2,000000 0,000168 0,000266 0,000000
120 1734193689 0,076586 0,200000 0,076586 0,076586 0,001173
117 1734193690 0,122346 2,000000 0,076424 0,207460 0,035354
114 1734193690 0,000207 2,000000 0,000168 0,000266 0,000000
120 1734193690 0,076586 0,200000 0,076586 0,076586 0,001173
117 1734193691 0,122346 2,000000 0,076424 0,207460 0,035354
114 1734193691 0,000207 2,000000 0,000168 0,000266 0,000000
120 1734193691 0,076586 0,200000 0,076586 0,076586 0,001173
117 1734193692 0,122346 2,000000 0,076424 0,207460 0,035354
114 1734193692 0,000207 2,000000 0,000168 0,000266 0,000000
120 1734193692 0,076586 0,200000 0,076586 0,076586 0,001173
117 1734193693 0,122346 2,000000 0,076424 0,207460 0,035354
114 1734193693 0,000207 2,000000 0,000168 0,000266 0,000000
120 1734193693 0,076586 0,200000 0,076586 0,076586 0,001173
135 1734193694 0,050286 0,200000 0,050286 0,050286 0,000506
132 1734193694 0,036602 0,200000 0,036602 0,036602 0,000268
160 1734193694 0,112017 0,400000 0,112003 0,112032 0,005019
129 1734193694 0,087681 0,400000 0,068835 0,106528 0,003217
163 1734193694 0,029567 0,200000 0,029567 0,029567 0,000175
120 1734193694 0,096054 1,600000 0,076349 0,123471 0,015214
120 1734193695 0,096054 1,600000 0,076349 0,123471 0,015214
135 1734193695 0,050286 0,200000 0,050286 0,050286 0,000506
132 1734193695 0,036602 0,200000 0,036602 0,036602 0,000268
160 1734193695 0,112017 0,400000 0,112003 0,112032 0,005019
129 1734193695 0,087681 0,400000 0,068835 0,106528 0,003217
163 1734193695 0,029567 0,200000 0,029567 0,029567 0,000175
135 1734193696 0,050286 0,200000 0,050286 0,050286 0,000506
132 1734193696 0,036602 0,200000 0,036602 0,036602 0,000268
160 1734193696 0,112017 0,400000 0,112003 0,112032 0,005019
129 1734193696 0,087681 0,400000 0,068835 0,106528 0,003217
163 1734193696 0,029567 0,200000 0,029567 0,029567 0,000175
120 1734193696 0,096054 1,600000 0,076349 0,123471 0,015214
135 1734193697 0,050286 0,200000 0,050286 0,050286 0,000506
135 1734193698 0,050286 0,200000 0,050286 0,050286 0,000506
132 1734193697 0,036602 0,200000 0,036602 0,036602 0,000268
