145 1734193690 0,000000 0,000000 -101,000000 0,000000 0,000000
145 1734193691 0,000000 0,000000 -101,000000 0,000000 0,000000
145 1734193692 0,000000 0,000000 -101,000000 0,000000 0,000000
145 1734193693 0,000000 0,000000 -101,000000 0,000000 0,000000
145 1734193694 4,600000 2,000000 9,200000 9,200000 -20,200000
145 1734193695 4,600000 2,000000 18,400000 18,400000 -20,200000
145 1734193696 4,600000 2,000000 27,600000 27,600000 -20,200000
145 1734193697 4,600000 2,000000 36,800000 36,800000 -20,200000
145 1734193698 4,600000 2,000000 46,000000 46,000000 -20,200000
145 1734193699 0,052632 3,800000 46,200000 46,200000 -20,200000
145 1734193700 0,052632 3,800000 46,400000 46,400000 -20,200000
145 1734193701 0,052632 3,800000 46,600000 46,600000 -20,200000
145 1734193702 0,052632 3,800000 46,800000 46,800000 -20,200000
145 1734193703 0,052632 3,800000 47,000000 47,000000 -20,200000
145 1734193704 -0,538462 5,200000 44,200000 44,200000 -20,200000
145 1734193705 -0,538462 5,200000 41,400000 41,400000 -20,200000
145 1734193706 -0,538462 5,200000 38,600000 38,600000 -20,200000
145 1734193707 -0,538462 5,200000 35,800000 35,800000 -20,200000
145 1734193708 -0,538462 5,200000 33,000000 33,000000 -20,200000
145 1734193709 -0,300000 6,000000 31,200000 31,200000 -20,200000
145 1734193710 -0,300000 6,000000 29,400000 29,400000 -20,200000
145 1734193711 -0,300000 6,000000 27,600000 27,600000 -20,200000
145 1734193712 -0,300000 6,000000 25,800000 25,800000 -20,200000
145 1734193713 -0,300000 6,000000 24,000000 24,000000 -20,200000
145 1734193714 0,166667 7,200000 25,200000 25,200000 -20,200000
145 1734193715 0,166667 7,200000 26,400000 26,400000 -20,200000
145 1734193716 0,166667 7,200000 27,600000 27,600000 -20,200000
145 1734193717 0,166667 7,200000 28,800000 28,800000 -20,200000
145 1734193718 0,166667 7,200000 30,000000 30,000000 -20,200000
145 1734193719 0,125000 8,000000 31,000000 31,000000 -20,200000
145 1734193720 0,125000 8,000000 32,000000 32,000000 -20,200000
145 1734193721 0,125000 8,000000 33,000000 33,000000 -20,200000
145 1734193722 0,125000 8,000000 34,000000 34,000000 -20,200000
145 1734193723 0,125000 8,000000 35,000000 35,000000 -20,200000
145 1734193724 0,000000 8,000000 35,000000 35,000000 -20,200000
145 1734193725 0,000000 8,000000 35,000000 35,000000 -20,200000
145 1734193726 0,000000 8,000000 35,000000 35,000000 -20,200000
145 1734193727 0,000000 8,000000 35,000000 35,000000 -20,200000
145 1734193728 0,000000 8,000000 35,000000 35,000000 -20,200000
145 1734193729 -0,048780 8,200000 34,600000 34,600000 -20,200000
145 1734193730 -0,048780 8,200000 34,200000 34,200000 -20,200000
145 1734193731 -0,048780 8,200000 33,800000 33,800000 -20,200000
145 1734193732 -0,048780 8,200000 33,400000 33,400000 -20,200000
145 1734193733 -0,048780 8,200000 33,000000 33,000000 -20,200000
145 1734193734 0,000000 8,200000 33,000000 33,000000 -20,200000
145 1734193735 0,000000 8,200000 33,000000 33,000000 -20,200000
145 1734193736 0,000000 8,200000 33,000000 33,000000 -20,200000
145 1734193737 0,000000 8,200000 33,000000 33,000000 -20,200000
145 1734193738 0,000000 8,200000 33,000000 33,000000 -20,200000
145 1734193739 0,047619 8,400000 33,400000 33,400000 -20,200000
145 1734193740 0,047619 8,400000 33,800000 33,800000 -20,200000
145 1734193741 0,047619 8,400000 34,200000 34,200000 -20,200000
145 1734193742 0,047619 8,400000 34,600000 34,600000 -20,200000
145 1734193743 0,047619 8,400000 35,000000 35,000000 -20,200000
145 1734193744 0,000000 8,400000 35,000000 35,000000 -20,200000
145 1734193745 0,000000 8,400000 35,000000 35,000000 -20,200000
145 1734193746 0,000000 8,400000 35,000000 35,000000 -20,200000
145 1734193747 0,000000 8,400000 35,000000 35,000000 -20,200000
145 1734193748 0,000000 8,400000 35,000000 35,000000 -20,200000
145 1734193749 0,000000 8,400000 35,000000 35,000000 -20,200000
145 1734193750 0,000000 8,400000 35,000000 35,000000 -20,200000
145 1734193751 0,000000 8,400000 35,000000 35,000000 -20,200000
145 1734193752 0,000000 8,400000 35,000000 35,000000 -20,200000
145 1734193753 0,000000 8,400000 35,000000 35,000000 -20,200000
145 1734193754 0,068182 8,800000 35,600000 35,600000 -20,200000
145 1734193755 0,068182 8,800000 36,200000 36,200000 -20,200000
145 1734193756 0,068182 8,800000 36,800000 36,800000 -20,200000
145 1734193757 0,068182 8,800000 37,400000 37,400000 -20,200000
145 1734193758 0,068182 8,800000 38,000000 38,000000 -20,200000
145 1734193759 -0,062500 9,600000 37,400000 37,400000 -20,200000
